Voltage (V)
8.81442398
8.81408618
8.81370706
8.8135417
8.81355912
8.81302747
8.81257082
8.81217961
8.8119496
8.81196943
8.81150901
8.81154237
8.81088611
8.81056921
8.81032682
8.81088804
8.80972113
8.80986715
8.80925446
8.80863265
8.80832685
8.80805305
8.80783582
8.80781991
8.80709298
8.80697878
8.80628779
8.80633806
8.80604476
8.80536488
8.80616161
8.80588076
8.80552979
8.80538451
8.80545111
8.80508943
8.80504951
8.80431921
8.80392084
8.80374339
8.80346744
8.80314268
8.80322888
8.80280091
8.80272385
8.80220883
8.80195529
8.8018135
8.80182526
8.80144585
8.80103268
8.80110053
8.80077298
8.80078845
8.80039531
8.79991485
8.80002688
8.79979817
8.79990615
8.79952667
8.79962027
8.79930058
8.79905999
8.7988893
8.7989397
8.7989926
8.79881777
8.79870221
8.79846394
8.79831296
8.79831703
8.79812559
8.79814332
8.79824394
8.79787543
8.79763184
8.79742201
8.79731471
8.79728008
8.79705326
8.79722813
8.79708083
8.79675815
8.7964264
8.79633217
8.79624148
8.79572261
8.7958573
8.79577286
8.7955846
8.79550475
8.79504294
8.79475745
8.79452704
8.79427983
8.79459275
8.79432382
8.79410848
8.79386445
8.79371819
8.79370538
8.79355056
8.7932249
8.79319702
8.79268984
8.79262236
8.79243756
8.79229674
8.79220487
8.79224107
8.79171512
8.79186944
8.79180566
8.7914438
8.79116062
8.79130246
8.79107649
8.79079138
8.79071971
8.79067798
8.79021279
8.79028898
8.7899068
8.78941394
8.78944345
8.78918357
8.78922254
8.78898763
8.78901463
8.78844685
8.78836712
8.78819743
8.78766145
8.78753099
8.78745993
8.78731963
8.78706774
8.78668953
8.78652257
8.78640203
8.78623999
8.78630882
8.78564582
8.78537104
8.78530331
8.78484477
8.78498907
8.78473954
8.7841805
8.78383827
8.7842424
8.78379707
8.78394021
8.78370681
8.78371951
8.78366231
8.78333123
8.78347612
8.78297128
8.78297804
8.78266543
8.78275781
8.78259925
8.78260514
8.78228794
8.78219831
8.78220716
8.78175748
8.78150795
8.78134725
8.78135903
8.7813944
8.7811162
8.78074602
8.78112737
8.78088734
8.78064495
8.78060331
8.78078055
8.78078296
8.78070148
8.78052143
8.78049366
8.78056488
8.78042986
8.78028539
8.78040032
8.77997167
8.78005624
8.77930338
8.77935748
8.77932915
8.77912459
8.77905859
8.77930187
8.77874544
8.77915554
8.77892717
8.77883642
8.77840792
8.77872158
8.77881609
8.77837988
8.77852788
8.77839439
8.77868358
8.77862362
8.77868678
8.77862824
8.77848987
8.77845855
8.77877621
8.77885459
8.77891765
8.77829138
8.77856697
8.77844246
8.77832876
8.77855013
8.77830645
8.77806986
8.7780465
8.77796125
8.77756409
8.77776586
8.77770191
8.77740027
8.77706688
8.77720252
8.77686883
8.77652334
8.77640987
8.77647533
8.77642917
8.7763982
8.77660407
8.77655002
8.77663914
8.77663682
8.77660509
8.7770413
8.77718306
8.77731125
8.77692278
8.77710235
8.77687731
8.77677871
8.77683014
8.77678535
8.77682704
8.77652573
8.77656824
8.77667607
8.77632113
8.77613126
8.77625957
8.7761024
8.77584547
8.77594677
8.77568969
8.7753667
8.7752631
8.77535162
8.77511878
8.77522758
8.77519987
8.77527038
8.77527145
8.77518559
8.77500724
8.77510261
8.77496198
8.77520265
8.77473521
8.77456544
8.77445514
8.77409556
8.77386011
8.77385386
8.77398429
8.77361538
8.77309929
8.77311532
8.773221
8.77305659
8.77284321
8.77273654
8.77258331
8.77277576
8.77257755
8.77241279
8.77187201
8.77177858
8.77159631
8.77108707
8.77091406
8.77091396
8.77081976
8.7703964
8.76997446
8.76999096
8.77006136
8.76978656
8.76976093
8.76952653
8.76948513
8.76955477
8.7695193
8.76945406
8.76958835
8.76928837
8.76935012
8.76927386
8.76967356
8.76913848
8.7692214
8.76902798
8.7691284
8.76900766
8.76923712
8.76929282
8.76939491
8.76930885
8.76903603
8.76901699
8.76894162
8.76927197
8.76892276
8.76872611
8.7689388
8.76911687
8.76936315
8.76899931
8.76901944
8.76892438
8.76911379
8.76885984
8.76879796
8.76870278
8.76887834
8.76853254
8.76865084
8.76863499
8.76857407
8.76851239
8.76815877
8.76820554
8.7681892
8.76833296
8.76787448
8.76830373
8.76860533
8.76816354
8.76880882
8.76853599
8.76840352
8.7681911
8.7681889
8.76812508
8.76828898
8.76808967
8.76779286
8.76780613
8.76769456
8.7676171
8.76783619
8.76795826
8.76759753
8.76730273
8.76734663
8.76735243
8.76707646
8.76673505
8.7671835
8.76688529
8.76721689
8.7671174
8.76700688
8.76725027
8.76713625
8.76689926
8.76686509
8.76699962
8.76713147
8.76694214
8.76694038
8.76668119
8.76669129
8.76713733
8.76697156
8.76659035
8.76651066
8.76715142
8.76681332
8.76676036
8.766757
8.76715471
8.76676261
8.76712048
8.76710914
8.76733572
8.76714804
8.76724553
8.76747261
8.76735351
8.76758625
8.76732517
8.76747666
8.7671797
8.76733505
8.76716415
8.7669757
8.76662975
8.76710387
8.76713958
8.76699026
8.76677668
8.76654165
8.76639001
8.76672439
8.7667937
8.76702686
8.76680005
8.76683683
8.76668969
8.76660736
8.76694461
8.76670838
8.7664794
8.76598392
8.76624716
8.76624568
8.76643094
8.76580932
8.76578201
8.7655705
8.76566375
8.76597993
8.76571064
8.76579312
8.76502915
8.76519723
8.7652198
8.7648817
8.76516224
8.76521948
8.76503837
8.76516716
8.76550196
8.76487597
8.76532831
8.76515638
8.76490084
8.764752
8.76483555
8.76506587
8.7647258
8.76440886
8.76456798
8.76460049
8.76422313
8.76398941
8.76404538
8.76398625
8.76435274
8.76394518
8.76361419
8.76359806
8.76351506
8.76362866
8.76366924
8.76363111
8.76337645
8.76353776
8.76368012
8.76312114
8.76343134
8.76333089
8.76317595
8.76318866
8.76314998
8.76342268
8.76326582
8.76287312
8.7630278
8.76272073
8.76320794
8.76293384
8.76282127
8.76283027
8.76325632
8.76306262
8.76284262
8.76302397
8.76320106
8.7630963
8.76304874
8.76280541
8.76328703
8.76295876
8.76288895
8.76242375
8.76263089
8.76260594
8.76203064
8.76281488
8.76265918
8.76276048
8.76262736
8.76267064
8.76245521
8.76257492
8.76256906
8.76249684
8.7625428
8.76238514
8.76225294
8.76275323
8.76262443
8.76204607
8.7622884
8.7621542
8.76211677
8.76199577
8.76173979
8.76179193
8.76153942
8.76177484
8.76191694
8.76166416
8.76182368
8.76177734
8.76183058
8.76201681
8.76191843
8.76189996
8.76135752
8.76145715
8.76107833
8.76153563
8.76127491
8.76117595
8.76101302
8.76120234
8.76107883
8.76096412
8.7611019
8.76041342
8.76068054
8.76069198
8.76038656
8.76050492
8.7603539
8.76033763
8.76059708
8.76055668
8.76064044
8.76057643
8.76048744
8.76061694
8.76048715
8.76043414
8.76034943
8.76028605
8.7604084
8.76029768
8.75993118
8.76000856
8.75991405
8.75956905
8.75966261
8.75947047
8.75959865
8.75931186
8.7596002
8.75969473
8.75951136
8.75975459
8.7598754
8.75933903
8.75915384
8.75950154
8.75961167
8.75939317
8.75941254
8.75903378
8.75894155
8.75889437
8.75807154
8.75890383
8.75867907
8.75825936
8.75817478
8.75809208
8.75824701
8.75779055
8.75785529
8.75777423
8.75781655
8.75768623
8.75736057
8.7577026
8.75791596
8.75778858
8.75741769
8.75710333
8.75714726
8.75741305
8.75738979
8.7572805
8.75741008
8.75737604
8.75712819
8.75724893
8.75713399
8.75709842
8.7568477
8.75708716
8.7572955
8.75726271
8.75671147
