Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",1210,6,22u/25V/X7R,
"D1, D2, D3, D4, D5, D6",D_SMA,6,SS14,
"J1, J2","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",2,1715721,
"SC1, SC10, SC11, SC12, SC2, SC3, SC4, SC5, SC6, SC7, SC8, SC9",SM111K09L,12,SM111K09L,
U1,Converter_DCDC_TRACO_TSR1-xxxxE_THT,1,TSR1-2450E,
